AtomicNumber,Name,Symbol,AtomicMass,Color
1,Hydrogen,H,1.007,#ccccff
2,Helium,He,4.002,#ccccff
3,Lithium,Li,6.941,#ff6666
4,Beryllium,Be,9.012,#ffcc66
5,Boron,B,10.811,#ff99cc
6,Carbon,C,12.011,#cccccc
7,Nitrogen,N,14.007,#cccccc
8,Oxygen,O,15.999,#cccccc
9,Fluorine,F,18.998,#66ff66
10,Neon,Ne,20.18,#ccccff
11,Sodium,Na,22.99,#ff6666
12,Magnesium,Mg,24.305,#ffcc66
13,Aluminum,Al,26.982,#66ccff
14,Silicon,Si,28.086,#ff99cc
15,Phosphorus,P,30.974,#cccccc
16,Sulfur,S,32.065,#cccccc
17,Chlorine,Cl,35.453,#66ff66
18,Argon,Ar,39.948,#ccccff
19,Potassium,K,39.098,#ff6666
20,Calcium,Ca,40.078,#ffcc66
21,Scandium,Sc,44.956,#66ccff
22,Titanium,Ti,47.867,#66ccff
23,Vanadium,V,50.942,#66ccff
24,Chromium,Cr,51.996,#66ccff
25,Manganese,Mn,54.938,#66ccff
26,Iron,Fe,55.845,#66ccff
27,Cobalt,Co,58.933,#66ccff
28,Nickel,Ni,58.693,#66ccff
29,Copper,Cu,63.546,#66ccff
30,Zinc,Zn,65.38,#66ccff
31,Gallium,Ga,69.723,#66ccff
32,Germanium,Ge,72.64,#ff99cc
33,Arsenic,As,74.922,#ff99cc
34,Selenium,Se,78.96,#cccccc
35,Bromine,Br,79.904,#66ff66
36,Krypton,Kr,83.798,#ccccff
37,Rubidium,Rb,85.468,#ff6666
38,Strontium,Sr,87.62,#ffcc66
39,Yttrium,Y,88.906,#66ccff
40,Zirconium,Zr,91.224,#66ccff
41,Niobium,Nb,92.906,#66ccff
42,Molybdenum,Mo,95.96,#66ccff
43,Technetium,Tc,98,#66ccff
44,Ruthenium,Ru,101.07,#66ccff
45,Rhodium,Rh,102.906,#66ccff
46,Palladium,Pd,106.42,#66ccff
47,Silver,Ag,107.868,#66ccff
48,Cadmium,Cd,112.411,#66ccff
49,Indium,In,114.818,#66ccff
50,Tin,Sn,118.71,#66ccff
51,Antimony,Sb,121.76,#ff99cc
52,Tellurium,Te,127.6,#ff99cc
53,Iodine,I,126.904,#66ff66
54,Xenon,Xe,131.293,#ccccff
55,Cesium,Cs,132.905,#ff6666
56,Barium,Ba,137.327,#ffcc66
57,Lanthanum,La,138.905,#ffccff
58,Cerium,Ce,140.116,#ffccff
59,Praseodymium,Pr,140.908,#ffccff
60,Neodymium,Nd,144.242,#ffccff
61,Promethium,Pm,145,#ffccff
62,Samarium,Sm,150.36,#ffccff
63,Europium,Eu,151.964,#ffccff
64,Gadolinium,Gd,157.25,#ffccff
65,Terbium,Tb,158.925,#ffccff
66,Dysprosium,Dy,162.5,#ffccff
67,Holmium,Ho,164.93,#ffccff
68,Erbium,Er,167.259,#ffccff
69,Thulium,Tm,168.934,#ffccff
70,Ytterbium,Yb,173.054,#ffccff
71,Lutetium,Lu,174.967,#ffccff
72,Hafnium,Hf,178.49,#66ccff
73,Tantalum,Ta,180.948,#66ccff
74,Tungsten,W,183.84,#66ccff
75,Rhenium,Re,186.207,#66ccff
76,Osmium,Os,190.23,#66ccff
77,Iridium,Ir,192.217,#66ccff
78,Platinum,Pt,195.084,#66ccff
79,Gold,Au,196.967,#66ccff
80,Mercury,Hg,200.59,#66ccff
81,Thallium,Tl,204.383,#66ccff
82,Lead,Pb,207.2,#66ccff
83,Bismuth,Bi,208.98,#ff99cc
84,Polonium,Po,210,#ff99cc
85,Astatine,At,210,#66ff66
86,Radon,Rn,222,#ccccff
87,Francium,Fr,223,#ff6666
88,Radium,Ra,226,#ffcc66
89,Actinium,Ac,227,#cc99ff
90,Thorium,Th,232.038,#cc99ff
91,Protactinium,Pa,231.036,#cc99ff
92,Uranium,U,238.029,#cc99ff
93,Neptunium,Np,237,#cc99ff
94,Plutonium,Pu,244,#cc99ff
95,Americium,Am,243,#cc99ff
96,Curium,Cm,247,#cc99ff
97,Berkelium,Bk,247,#cc99ff
98,Californium,Cf,251,#cc99ff
99,Einsteinium,Es,252,#cc99ff
100,Fermium,Fm,257,#cc99ff
101,Mendelevium,Md,258,#cc99ff
102,Nobelium,No,259,#cc99ff
103,Lawrencium,Lr,262,#cc99ff
104,Rutherfordium,Rf,261,#66ccff
105,Dubnium,Db,262,#66ccff
106,Seaborgium,Sg,266,#66ccff
107,Bohrium,Bh,264,#66ccff
108,Hassium,Hs,267,#66ccff
109,Meitnerium,Mt,268,#66ccff
110,Darmstadtium,Ds,271,#66ccff
111,Roentgenium,Rg,272,#66ccff
112,Copernicium,Cn,285,#66ccff
113,Nihonium,Nh,284,#66ccff
114,Flerovium,Fl,289,#66ccff
115,Moscovium,Mc,288,#66ccff
116,Livermorium,Lv,292,#66ccff
117,Tennessine,Ts,295,#66ccff
118,Oganesson,Og,294,#66ccff
